"Designator","Mid X","Mid Y","Layer","Rotation"
"C1"," 17.26"," 7.86","BOTTOM"," 180.00"
"C2"," 25.51"," 7.86","BOTTOM"," 180.00"
"C3"," 53.26"," 7.86","BOTTOM"," 180.00"
"C4"," 61.51"," 7.86","BOTTOM"," 180.00"
"J3"," 10.00"," 15.50","BOTTOM"," 90.00"
"J6"," 46.00"," 15.50","BOTTOM"," 90.00"
"JP1"," 22.84"," 9.51","BOTTOM"," 90.00"
"JP2"," 19.29"," 9.57","BOTTOM"," 90.00"
"JP3"," 58.84"," 9.51","BOTTOM"," 90.00"
"JP4"," 55.29"," 9.57","BOTTOM"," 90.00"
